ipnr17,v313_dk,v314_dk,v315_dk,alder,civilstand,børn,urbanisering,uddannelse,uddannelse_partner,uddannelse_mor,uddannelse_far,isco_fn,isco_p_fn,indkomst_kvint,parti,frivillig,folkekirken
FU321480,Medium-cycle tertiary eduation,350.000<,Male,46.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,2,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU848509,Secondary education,150.000-250.000,Female,62.0,Gift eller reg. partnerskab,5 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Uoplyst,Uoplyst,2,2,1.0,Socialdemokraterne,Nej,ja
FU474662,Medium-cycle tertiary eduation,150.000-250.000,Female,51.0,Skilt,2 børn,,Mellemlange vid. udd,Irrelevant,Lang vid. udd,Erhvervsfaglige uddannelser,4,77,2.0,Enhedslisten m.fl.,Nej,ja
CZ445181,Secondary education,350.000<,Male,72.0,Skilt,3 børn,Landområder og landsbyer,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,5.0,Dansk Folkeparti,Ja,ja
CZ299499,"Long-cycle tertiary eduation, Ph.D",<150.0000,Male,38.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,4.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
FU127525,Medium-cycle tertiary eduation,350.000<,Female,66.0,Gift eller reg. partnerskab,3 børn,,Mellemlange vid. udd,Korte vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,3,3.0,Socialdemokraterne,Nej,ja
FU206070,"Long-cycle tertiary eduation, Ph.D",150.000-250.000,Female,27.0,Gift eller reg. partnerskab,Ingen børn,,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,4.0,Det Radikale Venstre,Nej,nej
CZ125077,Medium-cycle tertiary eduation,150.000-250.000,Female,70.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Mellemlange vid. udd,Lang vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,3.0,Enhedslisten m.fl.,Nej,nej
CZ228381,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,37.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,4.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
FU340315,Secondary education,250.000-350.000,Male,52.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,2,4,4.0,Socialdemokraterne,Nej,ja
FU467955,Secondary education,250.000-350.000,Female,58.0,Enlig,1 barn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Uoplyst,2,77,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ622747,Elementary school or unknown,150.000-250.000,Male,59.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Korte vid. udd,Ukendt,3,4.0,Socialdemokraterne,Ja,ja
CZ547225,Elementary school or unknown,150.000-250.000,Male,65.0,Gift eller reg. partnerskab,3 børn,Mellemstore byer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Ukendt,2,1.0,Socialdemokraterne,Nej,ja
FU744119,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,56.0,Skilt,2 børn,,Lang vid. udd,Irrelevant,Mellemlange vid. udd,Lang vid. udd,4,77,4.0,Det Radikale Venstre,Ja,ja
CZ705383,Secondary education,150.000-250.000,Female,48.0,Papirløst partnerskab,Ingen børn,De 3 store provinsbyer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,4,3.0,Alternativet,Nej,ja
CZ763084,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,30.0,Papirløst partnerskab,Ingen børn,De 3 store provinsbyer,Lang vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU465247,Short-cycle tertiary eduation,250.000-350.000,Male,45.0,Gift eller reg. partnerskab,Ingen børn,,Korte vid. udd,Mellemlange vid. udd,Lang vid. udd,Lang vid. udd,4,4,4.0,Det Radikale Venstre,Nej,ja
FU439277,Secondary education,150.000-250.000,Female,70.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,4,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU548815,Secondary education,<150.0000,Male,81.0,Papirløst partnerskab,3 børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,3,3,2.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ634066,Secondary education,250.000-350.000,Male,83.0,Enke/enkemand,2 børn,Mellemstore byer,Korte vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,3,77,3.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU226911,Medium-cycle tertiary eduation,250.000-350.000,Female,72.0,Skilt,2 børn,,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,2.0,Det Radikale Venstre,Ja,ja
FU646788,Elementary school or unknown,<150.0000,Female,93.0,Gift eller reg. partnerskab,5 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,1,1.0,Socialdemokraterne,Nej,ja
FU769660,Elementary school or unknown,<150.0000,Male,39.0,Enlig,Ingen børn,,Uoplyst,Irrelevant,Grundskole og gym.,Uoplyst,2,77,1.0,Enhedslisten m.fl.,Nej,ja
FU892110,Medium-cycle tertiary eduation,150.000-250.000,Female,44.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Korte vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,2,4.0,Socialistisk Folkeparti,Nej,ja
CZ400411,Secondary education,250.000-350.000,Female,70.0,Gift eller reg. partnerskab,4 børn,Mellemstore byer,Korte vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Korte vid. udd,2,4,4.0,Socialdemokraterne,Nej,ja
CZ850382,Elementary school or unknown,250.000-350.000,Female,51.0,Skilt,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,3,77,3.0,Socialdemokraterne,Ja,ja
CZ731421,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,43.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,3,4,5.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU273316,Secondary education,<150.0000,Female,21.0,Papirløst partnerskab,Ingen børn,,Mellemlange vid. udd,Grundskole og gym.,Mellemlange vid. udd,Korte vid. udd,Ukendt,3,2.0,Enhedslisten m.fl.,Ja,ja
FU368442,Secondary education,350.000<,Female,54.0,Skilt,2 børn,,Korte vid. udd,Irrelevant,Korte vid. udd,Uoplyst,4,77,3.0,Det Konservative Folkeparti,Nej,ja
CZ515770,Elementary school or unknown,150.000-250.000,Male,76.0,Enlig,2 børn,Mindre byer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,1.0,Socialdemokraterne,Nej,ja
FU497413,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,39.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,4,4,5.0,Nye Borgerlige,Nej,ja
FU350050,Secondary education,350.000<,Male,49.0,Papirløst partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,4,4,4.0,Det Konservative Folkeparti,Nej,nej
CZ468773,Elementary school or unknown,<150.0000,Male,50.0,Enlig,Ingen børn,Større provinsbyer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,1.0,,Nej,ja
CZ254280,Secondary education,150.000-250.000,Female,28.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,4,1,3.0,Enhedslisten m.fl.,Ja,nej
CZ634695,Medium-cycle tertiary eduation,<150.0000,Male,42.0,Enlig,Ingen børn,Landområder og landsbyer,Mellemlange vid. udd,Irrelevant,Mellemlange vid. udd,Lang vid. udd,4,77,,,Nej,ja
CZ451852,Medium-cycle tertiary eduation,250.000-350.000,Female,48.0,Enlig,Ingen børn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,4,77,4.0,Socialdemokraterne,Nej,ja
FU452713,Secondary education,250.000-350.000,Male,56.0,Gift eller reg. partnerskab,3 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,1,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ277160,Secondary education,250.000-350.000,Male,74.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,4,2,4.0,,Ja,nej
CZ263003,Secondary education,<150.0000,Female,71.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Ukendt,4,2.0,Socialdemokraterne,Nej,ja
FU811687,Medium-cycle tertiary eduation,<150.0000,Male,30.0,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Mellemlange vid. udd,Mellemlange vid. udd,4,77,1.0,Det Radikale Venstre,Ja,ja
FU221895,Medium-cycle tertiary eduation,250.000-350.000,Male,64.0,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,3.0,Det Radikale Venstre,Nej,ja
CZ739702,Secondary education,<150.0000,Male,28.0,Enlig,Ingen børn,Mellemstore byer,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Ukendt,77,4.0,,Nej,ja
CZ821788,Secondary education,150.000-250.000,Male,53.0,Gift eller reg. partnerskab,3 børn,De 3 store provinsbyer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,2,4,4.0,Socialistisk Folkeparti,Ja,ja
CZ192415,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,37.0,Skilt,2 børn,De 3 store provinsbyer,Lang vid. udd,Irrelevant,Mellemlange vid. udd,Uoplyst,4,77,4.0,Det Radikale Venstre,Nej,ja
CZ641989,"Long-cycle tertiary eduation, Ph.D",<150.0000,Female,28.0,Papirløst partnerskab,Ingen børn,Større provinsbyer,Lang vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,4,4,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ568036,Short-cycle tertiary eduation,250.000-350.000,Male,51.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Korte vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,4.0,Socialistisk Folkeparti,Ja,ja
CZ156495,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,53.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,2,4,5.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ329354,Elementary school or unknown,<150.0000,Male,32.0,Gift eller reg. partnerskab,Ingen børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,4,4,3.0,,Nej,nej
FU803434,Elementary school or unknown,150.000-250.000,Female,45.0,Gift eller reg. partnerskab,Ingen børn,,Grundskole og gym.,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,1,Ukendt,4.0,Socialdemokraterne,Ja,nej
FU480882,Medium-cycle tertiary eduation,150.000-250.000,Male,31.0,Gift eller reg. partnerskab,Ingen børn,,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ233166,Medium-cycle tertiary eduation,150.000-250.000,Female,76.0,Gift eller reg. partnerskab,3 børn,Større provinsbyer,Mellemlange vid. udd,Lang vid. udd,Grundskole og gym.,Lang vid. udd,4,4,1.0,Det Konservative Folkeparti,Nej,ja
CZ247052,Medium-cycle tertiary eduation,350.000<,Male,62.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Mellemlange vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,2,5.0,Det Konservative Folkeparti,Nej,ja
CZ553816,Secondary education,150.000-250.000,Female,45.0,Enlig,1 barn,Mellemstore byer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,1.0,Socialdemokraterne,Nej,ja
FU585583,Secondary education,<150.0000,Male,27.0,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,3,77,5.0,Vil stemme blankt,,ja
FU658957,Short-cycle tertiary eduation,350.000<,Male,65.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,3,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ642472,Secondary education,250.000-350.000,Male,30.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,2,4,5.0,Det Radikale Venstre,Ja,ja
FU430761,Secondary education,250.000-350.000,Female,49.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Grundskole og gym.,Lang vid. udd,Lang vid. udd,2,77,4.0,Socialdemokraterne,Nej,nej
FU848051,Secondary education,<150.0000,Female,65.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,3,3.0,Dansk Folkeparti,Ja,ja
CZ623844,Medium-cycle tertiary eduation,<150.0000,Male,45.0,Papirløst partnerskab,Ingen børn,Mellemstore byer,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,4,,Vil stemme blankt,Nej,ja
CZ590086,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,64.0,Gift eller reg. partnerskab,Ingen børn,Mindre byer,Lang vid. udd,Lang vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,4.0,Socialistisk Folkeparti,Ja,ja
FU782837,Elementary school or unknown,150.000-250.000,Male,69.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,3.0,Det Konservative Folkeparti,Nej,ja
FU549060,Secondary education,250.000-350.000,Male,49.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,1,5.0,Vil stemme blankt,Ja,ja
CZ588625,Secondary education,150.000-250.000,Male,68.0,Skilt,1 barn,Landområder og landsbyer,Korte vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Korte vid. udd,2,77,1.0,Nye Borgerlige,Ja,ja
FU168709,Medium-cycle tertiary eduation,350.000<,Female,78.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Mellemlange vid. udd,4,4,5.0,Det Konservative Folkeparti,Nej,ja
CZ554936,Elementary school or unknown,<150.0000,Female,64.0,Gift eller reg. partnerskab,6 børn eller flere,Landområder og landsbyer,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,3,2,2.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU878460,Secondary education,150.000-250.000,Female,42.0,Papirløst partnerskab,2 børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,2,3.0,Dansk Folkeparti,Ja,ja
CZ536150,Elementary school or unknown,<150.0000,Female,19.0,Enlig,Ingen børn,Mindre byer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,5.0,"Venstre, Danmarks Liberale Parti",Ja,nej
FU877960,Secondary education,150.000-250.000,Male,46.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,3.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ734066,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,37.0,Enlig,Ingen børn,Større provinsbyer,Lang vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,4,77,3.0,Det Radikale Venstre,Nej,ja
CZ246469,Elementary school or unknown,150.000-250.000,Male,72.0,Enlig,Ingen børn,De 3 store provinsbyer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,1.0,Dansk Folkeparti,Nej,ja
FU405110,Secondary education,150.000-250.000,Male,65.0,Enke/enkemand,4 børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,4,77,1.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ249788,Medium-cycle tertiary eduation,250.000-350.000,Female,49.0,Gift eller reg. partnerskab,5 børn,Mindre byer,Mellemlange vid. udd,Lang vid. udd,Mellemlange vid. udd,Grundskole og gym.,4,4,5.0,Socialdemokraterne,Ja,nej
CZ424436,Secondary education,<150.0000,Male,24.0,Enlig,Ingen børn,Mindre byer,Mellemlange vid. udd,Irrelevant,Mellemlange vid. udd,Lang vid. udd,2,77,1.0,Socialdemokraterne,Nej,ja
FU116768,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,43.0,Gift eller reg. partnerskab,3 børn,,Lang vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,4.0,Socialistisk Folkeparti,Ja,ja
CZ274281,Elementary school or unknown,150.000-250.000,Male,59.0,Gift eller reg. partnerskab,3 børn,Mellemstore byer,Grundskole og gym.,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,1,2,3.0,Socialdemokraterne,Nej,ja
CZ605878,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,66.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Lang vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Lang vid. udd,4,3,4.0,Socialdemokraterne,Nej,ja
CZ550502,Medium-cycle tertiary eduation,350.000<,Male,67.0,Enlig,Ingen børn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,77,3.0,"Venstre, Danmarks Liberale Parti",Nej,nej
FU492271,Secondary education,150.000-250.000,Female,64.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,3,2,2.0,Socialdemokraterne,Nej,ja
CZ155044,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,42.0,Gift eller reg. partnerskab,3 børn,Mellemstore byer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,4.0,Det Konservative Folkeparti,Ja,ja
FU871381,Secondary education,<150.0000,Male,79.0,Gift eller reg. partnerskab,1 barn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,4,2,3.0,Det Konservative Folkeparti,Ja,ja
FU553892,Medium-cycle tertiary eduation,150.000-250.000,Female,68.0,Skilt,1 barn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,1.0,Socialdemokraterne,Nej,ja
CZ688759,Secondary education,250.000-350.000,Male,46.0,Papirløst partnerskab,1 barn,Mindre byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,5.0,,Ja,ja
CZ296081,Secondary education,250.000-350.000,Male,59.0,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,4.0,Socialdemokraterne,Nej,ja
CZ219219,Elementary school or unknown,<150.0000,Female,79.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,2,,,Nej,ja
CZ595860,Secondary education,<150.0000,Female,23.0,Enlig,Ingen børn,De 3 store provinsbyer,Mellemlange vid. udd,Irrelevant,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,77,1.0,Enhedslisten m.fl.,Ja,ja
FU692353,Secondary education,350.000<,Female,51.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,4,3,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ403779,Secondary education,<150.0000,Male,70.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Lang vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Ukendt,3,1.0,Det Konservative Folkeparti,Nej,nej
CZ327869,Medium-cycle tertiary eduation,<150.0000,Male,47.0,Enlig,1 barn,Større provinsbyer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,1.0,,Nej,nej
CZ732442,Secondary education,350.000<,Male,42.0,Papirløst partnerskab,2 børn,Mindre byer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Ukendt,4,4.0,,Ja,ja
CZ518600,Medium-cycle tertiary eduation,150.000-250.000,Female,76.0,Skilt,1 barn,De 3 store provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,77,2.0,Socialdemokraterne,Ja,ja
FU573514,Secondary education,250.000-350.000,Female,65.0,Gift eller reg. partnerskab,2 børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,3,2,2.0,Alternativet,Nej,nej
CZ776397,Elementary school or unknown,250.000-350.000,Female,70.0,Enlig,1 barn,Mellemstore byer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Mellemlange vid. udd,2,77,2.0,Dansk Folkeparti,Ja,nej
