,ipnr17,v297_dk,v298_dk,v299_dk,alder,civilstand,børn,urbanisering,uddannelse,uddannelse_partner,uddannelse_mor,uddannelse_far,isco_fn,isco_p_fn,indkomst_kvint,parti,frivillig,folkekirken
10,FU167527,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,53.0,Skilt,6 børn eller flere,,Grundskole og gym.,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Ukendt,77,2.0,,Ja,nej
11,CZ713357,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,54.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Korte vid. udd,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,4,3,5.0,Socialdemokraterne,Ja,ja
12,FU320813,Medium-cycle tertiary eduation,150.000-250.000,Female,39.0,Papirløst partnerskab,1 barn,,Mellemlange vid. udd,Lang vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,5.0,"Venstre, Danmarks Liberale Parti",Ja,ja
13,CZ815476,Secondary education,150.000-250.000,Female,56.0,Skilt,3 børn,De 3 store provinsbyer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,1,77,2.0,Alternativet,Nej,nej
14,CZ418145,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,41.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,3,4,5.0,Det Konservative Folkeparti,Nej,ja
15,FU733591,Medium-cycle tertiary eduation,150.000-250.000,Male,27.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Grundskole og gym.,Mellemlange vid. udd,Korte vid. udd,4,2,3.0,Socialdemokraterne,Nej,ja
16,FU508450,Secondary education,150.000-250.000,Female,56.0,Gift eller reg. partnerskab,2 børn,,Uoplyst,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Mellemlange vid. udd,3,2,3.0,"Venstre, Danmarks Liberale Parti",Nej,ja
17,FU321480,Medium-cycle tertiary eduation,350.000<,Male,46.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,2,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
18,FU848509,Secondary education,150.000-250.000,Female,62.0,Gift eller reg. partnerskab,5 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Uoplyst,Uoplyst,2,2,1.0,Socialdemokraterne,Nej,ja
19,FU474662,Medium-cycle tertiary eduation,150.000-250.000,Female,51.0,Skilt,2 børn,,Mellemlange vid. udd,Irrelevant,Lang vid. udd,Erhvervsfaglige uddannelser,4,77,2.0,Enhedslisten m.fl.,Nej,ja
20,CZ445181,Secondary education,350.000<,Male,72.0,Skilt,3 børn,Landområder og landsbyer,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,5.0,Dansk Folkeparti,Ja,ja
21,CZ299499,"Long-cycle tertiary eduation, Ph.D",<150.0000,Male,38.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,4.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
22,FU127525,Medium-cycle tertiary eduation,350.000<,Female,66.0,Gift eller reg. partnerskab,3 børn,,Mellemlange vid. udd,Korte vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,3,3.0,Socialdemokraterne,Nej,ja
23,FU206070,"Long-cycle tertiary eduation, Ph.D",150.000-250.000,Female,27.0,Gift eller reg. partnerskab,Ingen børn,,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,4.0,Det Radikale Venstre,Nej,nej
24,CZ125077,Medium-cycle tertiary eduation,150.000-250.000,Female,70.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Mellemlange vid. udd,Lang vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,3.0,Enhedslisten m.fl.,Nej,nej
25,CZ228381,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,37.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,4.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
26,FU340315,Secondary education,250.000-350.000,Male,52.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,2,4,4.0,Socialdemokraterne,Nej,ja
27,FU467955,Secondary education,250.000-350.000,Female,58.0,Enlig,1 barn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Uoplyst,2,77,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
28,CZ622747,Elementary school or unknown,150.000-250.000,Male,59.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Korte vid. udd,Ukendt,3,4.0,Socialdemokraterne,Ja,ja
29,CZ547225,Elementary school or unknown,150.000-250.000,Male,65.0,Gift eller reg. partnerskab,3 børn,Mellemstore byer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Ukendt,2,1.0,Socialdemokraterne,Nej,ja
30,FU744119,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,56.0,Skilt,2 børn,,Lang vid. udd,Irrelevant,Mellemlange vid. udd,Lang vid. udd,4,77,4.0,Det Radikale Venstre,Ja,ja
31,CZ705383,Secondary education,150.000-250.000,Female,48.0,Papirløst partnerskab,Ingen børn,De 3 store provinsbyer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,4,3.0,Alternativet,Nej,ja
32,CZ763084,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,30.0,Papirløst partnerskab,Ingen børn,De 3 store provinsbyer,Lang vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
33,FU465247,Short-cycle tertiary eduation,250.000-350.000,Male,45.0,Gift eller reg. partnerskab,Ingen børn,,Korte vid. udd,Mellemlange vid. udd,Lang vid. udd,Lang vid. udd,4,4,4.0,Det Radikale Venstre,Nej,ja
34,FU439277,Secondary education,150.000-250.000,Female,70.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,4,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
35,FU548815,Secondary education,<150.0000,Male,81.0,Papirløst partnerskab,3 børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,3,3,2.0,"Venstre, Danmarks Liberale Parti",Ja,ja
36,CZ634066,Secondary education,250.000-350.000,Male,83.0,Enke/enkemand,2 børn,Mellemstore byer,Korte vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,3,77,3.0,"Venstre, Danmarks Liberale Parti",Ja,ja
37,FU226911,Medium-cycle tertiary eduation,250.000-350.000,Female,72.0,Skilt,2 børn,,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,2.0,Det Radikale Venstre,Ja,ja
38,FU646788,Elementary school or unknown,<150.0000,Female,93.0,Gift eller reg. partnerskab,5 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,1,1.0,Socialdemokraterne,Nej,ja
39,FU769660,Elementary school or unknown,<150.0000,Male,39.0,Enlig,Ingen børn,,Uoplyst,Irrelevant,Grundskole og gym.,Uoplyst,2,77,1.0,Enhedslisten m.fl.,Nej,ja
40,FU892110,Medium-cycle tertiary eduation,150.000-250.000,Female,44.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Korte vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,2,4.0,Socialistisk Folkeparti,Nej,ja
41,CZ400411,Secondary education,250.000-350.000,Female,70.0,Gift eller reg. partnerskab,4 børn,Mellemstore byer,Korte vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Korte vid. udd,2,4,4.0,Socialdemokraterne,Nej,ja
42,CZ850382,Elementary school or unknown,250.000-350.000,Female,51.0,Skilt,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,3,77,3.0,Socialdemokraterne,Ja,ja
43,CZ731421,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,43.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,3,4,5.0,"Venstre, Danmarks Liberale Parti",Ja,ja
44,FU273316,Secondary education,<150.0000,Female,21.0,Papirløst partnerskab,Ingen børn,,Mellemlange vid. udd,Grundskole og gym.,Mellemlange vid. udd,Korte vid. udd,Ukendt,3,2.0,Enhedslisten m.fl.,Ja,ja
45,FU368442,Secondary education,350.000<,Female,54.0,Skilt,2 børn,,Korte vid. udd,Irrelevant,Korte vid. udd,Uoplyst,4,77,3.0,Det Konservative Folkeparti,Nej,ja
46,CZ515770,Elementary school or unknown,150.000-250.000,Male,76.0,Enlig,2 børn,Mindre byer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,1.0,Socialdemokraterne,Nej,ja
47,FU497413,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,39.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,4,4,5.0,Nye Borgerlige,Nej,ja
48,FU350050,Secondary education,350.000<,Male,49.0,Papirløst partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,4,4,4.0,Det Konservative Folkeparti,Nej,nej
49,CZ468773,Elementary school or unknown,<150.0000,Male,50.0,Enlig,Ingen børn,Større provinsbyer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,1.0,,Nej,ja
50,CZ254280,Secondary education,150.000-250.000,Female,28.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,4,1,3.0,Enhedslisten m.fl.,Ja,nej
51,CZ634695,Medium-cycle tertiary eduation,<150.0000,Male,42.0,Enlig,Ingen børn,Landområder og landsbyer,Mellemlange vid. udd,Irrelevant,Mellemlange vid. udd,Lang vid. udd,4,77,,,Nej,ja
52,CZ451852,Medium-cycle tertiary eduation,250.000-350.000,Female,48.0,Enlig,Ingen børn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,4,77,4.0,Socialdemokraterne,Nej,ja
53,FU452713,Secondary education,250.000-350.000,Male,56.0,Gift eller reg. partnerskab,3 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,1,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
54,CZ277160,Secondary education,250.000-350.000,Male,74.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,4,2,4.0,,Ja,nej
55,CZ263003,Secondary education,<150.0000,Female,71.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Ukendt,4,2.0,Socialdemokraterne,Nej,ja
56,FU811687,Medium-cycle tertiary eduation,<150.0000,Male,30.0,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Mellemlange vid. udd,Mellemlange vid. udd,4,77,1.0,Det Radikale Venstre,Ja,ja
57,FU221895,Medium-cycle tertiary eduation,250.000-350.000,Male,64.0,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,3.0,Det Radikale Venstre,Nej,ja
58,CZ739702,Secondary education,<150.0000,Male,28.0,Enlig,Ingen børn,Mellemstore byer,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Ukendt,77,4.0,,Nej,ja
59,CZ821788,Secondary education,150.000-250.000,Male,53.0,Gift eller reg. partnerskab,3 børn,De 3 store provinsbyer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,2,4,4.0,Socialistisk Folkeparti,Ja,ja
60,CZ192415,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,37.0,Skilt,2 børn,De 3 store provinsbyer,Lang vid. udd,Irrelevant,Mellemlange vid. udd,Uoplyst,4,77,4.0,Det Radikale Venstre,Nej,ja
61,CZ641989,"Long-cycle tertiary eduation, Ph.D",<150.0000,Female,28.0,Papirløst partnerskab,Ingen børn,Større provinsbyer,Lang vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,4,4,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
62,CZ568036,Short-cycle tertiary eduation,250.000-350.000,Male,51.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Korte vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,4.0,Socialistisk Folkeparti,Ja,ja
63,CZ156495,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,53.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,2,4,5.0,"Venstre, Danmarks Liberale Parti",Nej,ja
64,CZ329354,Elementary school or unknown,<150.0000,Male,32.0,Gift eller reg. partnerskab,Ingen børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,4,4,3.0,,Nej,nej
65,FU803434,Elementary school or unknown,150.000-250.000,Female,45.0,Gift eller reg. partnerskab,Ingen børn,,Grundskole og gym.,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,1,Ukendt,4.0,Socialdemokraterne,Ja,nej
66,FU480882,Medium-cycle tertiary eduation,150.000-250.000,Male,31.0,Gift eller reg. partnerskab,Ingen børn,,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
67,CZ233166,Medium-cycle tertiary eduation,150.000-250.000,Female,76.0,Gift eller reg. partnerskab,3 børn,Større provinsbyer,Mellemlange vid. udd,Lang vid. udd,Grundskole og gym.,Lang vid. udd,4,4,1.0,Det Konservative Folkeparti,Nej,ja
68,CZ247052,Medium-cycle tertiary eduation,350.000<,Male,62.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Mellemlange vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,2,5.0,Det Konservative Folkeparti,Nej,ja
69,CZ553816,Secondary education,150.000-250.000,Female,45.0,Enlig,1 barn,Mellemstore byer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,1.0,Socialdemokraterne,Nej,ja
70,FU585583,Secondary education,<150.0000,Male,27.0,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,3,77,5.0,Vil stemme blankt,,ja
71,FU658957,Short-cycle tertiary eduation,350.000<,Male,65.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,3,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
72,CZ642472,Secondary education,250.000-350.000,Male,30.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,2,4,5.0,Det Radikale Venstre,Ja,ja
73,FU430761,Secondary education,250.000-350.000,Female,49.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Grundskole og gym.,Lang vid. udd,Lang vid. udd,2,77,4.0,Socialdemokraterne,Nej,nej
74,FU848051,Secondary education,<150.0000,Female,65.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,3,3.0,Dansk Folkeparti,Ja,ja
75,CZ623844,Medium-cycle tertiary eduation,<150.0000,Male,45.0,Papirløst partnerskab,Ingen børn,Mellemstore byer,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,4,,Vil stemme blankt,Nej,ja
76,CZ590086,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,64.0,Gift eller reg. partnerskab,Ingen børn,Mindre byer,Lang vid. udd,Lang vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,4.0,Socialistisk Folkeparti,Ja,ja
77,FU782837,Elementary school or unknown,150.000-250.000,Male,69.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,3.0,Det Konservative Folkeparti,Nej,ja
78,FU549060,Secondary education,250.000-350.000,Male,49.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,1,5.0,Vil stemme blankt,Ja,ja
79,CZ588625,Secondary education,150.000-250.000,Male,68.0,Skilt,1 barn,Landområder og landsbyer,Korte vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Korte vid. udd,2,77,1.0,Nye Borgerlige,Ja,ja
80,FU168709,Medium-cycle tertiary eduation,350.000<,Female,78.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Mellemlange vid. udd,4,4,5.0,Det Konservative Folkeparti,Nej,ja
81,CZ554936,Elementary school or unknown,<150.0000,Female,64.0,Gift eller reg. partnerskab,6 børn eller flere,Landområder og landsbyer,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,3,2,2.0,"Venstre, Danmarks Liberale Parti",Nej,ja
82,FU878460,Secondary education,150.000-250.000,Female,42.0,Papirløst partnerskab,2 børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,2,3.0,Dansk Folkeparti,Ja,ja
83,CZ536150,Elementary school or unknown,<150.0000,Female,19.0,Enlig,Ingen børn,Mindre byer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,5.0,"Venstre, Danmarks Liberale Parti",Ja,nej
84,FU877960,Secondary education,150.000-250.000,Male,46.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,3.0,"Venstre, Danmarks Liberale Parti",Nej,ja
85,CZ734066,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,37.0,Enlig,Ingen børn,Større provinsbyer,Lang vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,4,77,3.0,Det Radikale Venstre,Nej,ja
86,CZ246469,Elementary school or unknown,150.000-250.000,Male,72.0,Enlig,Ingen børn,De 3 store provinsbyer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,1.0,Dansk Folkeparti,Nej,ja
87,FU405110,Secondary education,150.000-250.000,Male,65.0,Enke/enkemand,4 børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,4,77,1.0,"Venstre, Danmarks Liberale Parti",Ja,ja
88,CZ249788,Medium-cycle tertiary eduation,250.000-350.000,Female,49.0,Gift eller reg. partnerskab,5 børn,Mindre byer,Mellemlange vid. udd,Lang vid. udd,Mellemlange vid. udd,Grundskole og gym.,4,4,5.0,Socialdemokraterne,Ja,nej
89,CZ424436,Secondary education,<150.0000,Male,24.0,Enlig,Ingen børn,Mindre byer,Mellemlange vid. udd,Irrelevant,Mellemlange vid. udd,Lang vid. udd,2,77,1.0,Socialdemokraterne,Nej,ja
90,FU116768,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,43.0,Gift eller reg. partnerskab,3 børn,,Lang vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,4.0,Socialistisk Folkeparti,Ja,ja
91,CZ274281,Elementary school or unknown,150.000-250.000,Male,59.0,Gift eller reg. partnerskab,3 børn,Mellemstore byer,Grundskole og gym.,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,1,2,3.0,Socialdemokraterne,Nej,ja
92,CZ605878,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,66.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Lang vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Lang vid. udd,4,3,4.0,Socialdemokraterne,Nej,ja
93,CZ550502,Medium-cycle tertiary eduation,350.000<,Male,67.0,Enlig,Ingen børn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,77,3.0,"Venstre, Danmarks Liberale Parti",Nej,nej
94,FU492271,Secondary education,150.000-250.000,Female,64.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,3,2,2.0,Socialdemokraterne,Nej,ja
95,CZ155044,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,42.0,Gift eller reg. partnerskab,3 børn,Mellemstore byer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,4.0,Det Konservative Folkeparti,Ja,ja
96,FU871381,Secondary education,<150.0000,Male,79.0,Gift eller reg. partnerskab,1 barn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,4,2,3.0,Det Konservative Folkeparti,Ja,ja
97,FU553892,Medium-cycle tertiary eduation,150.000-250.000,Female,68.0,Skilt,1 barn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,1.0,Socialdemokraterne,Nej,ja
98,CZ688759,Secondary education,250.000-350.000,Male,46.0,Papirløst partnerskab,1 barn,Mindre byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,5.0,,Ja,ja
99,CZ296081,Secondary education,250.000-350.000,Male,59.0,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,4.0,Socialdemokraterne,Nej,ja
100,CZ219219,Elementary school or unknown,<150.0000,Female,79.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,2,,,Nej,ja
101,CZ595860,Secondary education,<150.0000,Female,23.0,Enlig,Ingen børn,De 3 store provinsbyer,Mellemlange vid. udd,Irrelevant,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,77,1.0,Enhedslisten m.fl.,Ja,ja
102,FU692353,Secondary education,350.000<,Female,51.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,4,3,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
103,CZ403779,Secondary education,<150.0000,Male,70.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Lang vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Ukendt,3,1.0,Det Konservative Folkeparti,Nej,nej
104,CZ327869,Medium-cycle tertiary eduation,<150.0000,Male,47.0,Enlig,1 barn,Større provinsbyer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,1.0,,Nej,nej
105,CZ732442,Secondary education,350.000<,Male,42.0,Papirløst partnerskab,2 børn,Mindre byer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Ukendt,4,4.0,,Ja,ja
106,CZ518600,Medium-cycle tertiary eduation,150.000-250.000,Female,76.0,Skilt,1 barn,De 3 store provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,77,2.0,Socialdemokraterne,Ja,ja
